name,influencedBy_count,influenced_count,allmusic_url
"Massive Attack",14,28,"https://www.allmusic.com/artist/massive-attack-mn0000378288"
"Metallica",29,88,"https://www.allmusic.com/artist/metallica-mn0000446509"
"Michael Jackson",22,144,"https://www.allmusic.com/artist/michael-jackson-mn0000467203"
"Miles Davis",22,72,"https://www.allmusic.com/artist/miles-davis-mn0000423829"
"Muddy Waters",19,73,"https://www.allmusic.com/artist/muddy-waters-mn0000608701"
"My Bloody Valentine",20,133,"https://www.allmusic.com/artist/my-bloody-valentine-mn0000937003"
"Neil Young",26,114,"https://www.allmusic.com/artist/neil-young-mn0000379125"
"New Order",16,58,"https://www.allmusic.com/artist/new-order-mn0000334193"
"Nirvana",30,104,"https://www.allmusic.com/artist/nirvana-mn0000357406"
"Oasis",17,31,"https://www.allmusic.com/artist/oasis-mn0000393345"
"Otis Redding",15,67,"https://www.allmusic.com/artist/otis-redding-mn0000414251"
"Parliament",12,81,"https://www.allmusic.com/artist/parliament-mn0000129775"
"Patti Smith",12,24,"https://www.allmusic.com/artist/patti-smith-mn0000747445"
"Pavement",29,60,"https://www.allmusic.com/artist/pavement-mn0000752314"
"Phil Spector",6,11,"https://www.allmusic.com/artist/phil-spector-mn0000694967"
"Pink Floyd",20,163,"https://www.allmusic.com/artist/pink-floyd-mn0000346336"
"Pixies",29,86,"https://www.allmusic.com/artist/pixies-mn0000895136"
"Prince",28,96,"https://www.allmusic.com/artist/prince-mn0000361393"
"Public Enemy",21,42,"https://www.allmusic.com/artist/public-enemy-mn0000856785"
"Radiohead",24,61,"https://www.allmusic.com/artist/radiohead-mn0000326249"
"Ramones",32,84,"https://www.allmusic.com/artist/ramones-mn0000490004"
"Ravi Shankar",1,11,"https://www.allmusic.com/artist/ravi-shankar-mn0000404463"
"Ray Charles",18,114,"https://www.allmusic.com/artist/ray-charles-mn0000046861"
"Robert Johnson",11,18,"https://www.allmusic.com/artist/robert-johnson-mn0000832288"
"Roy Orbison",8,55,"https://www.allmusic.com/artist/roy-orbison-mn0000852007"
"Run-D.M.C.",7,60,"https://www.allmusic.com/artist/run-dmc-mn0000358408"
"Sam Cooke",10,64,"https://www.allmusic.com/artist/sam-cooke-mn0000238115"
"Sex Pistols",24,119,"https://www.allmusic.com/artist/sex-pistols-mn0000418740"
"Siouxsie and the Banshees",14,26,"https://www.allmusic.com/artist/siouxsie-and-the-banshees-mn0000748222"
"Smokey Robinson",11,23,"https://www.allmusic.com/artist/smokey-robinson-mn0000821571"
"Sonic Youth",36,162,"https://www.allmusic.com/artist/sonic-youth-mn0000755156"
"Stevie Wonder",12,143,"https://www.allmusic.com/artist/stevie-wonder-mn0000622805"
"Talking Heads",19,81,"https://www.allmusic.com/artist/talking-heads-mn0000131650"
"Television",12,19,"https://www.allmusic.com/artist/television-mn0000019701"
"The Beatles",25,276,"https://www.allmusic.com/artist/the-beatles-mn0000754032"
"The Byrds",16,75,"https://www.allmusic.com/artist/the-byrds-mn0000631774"
"The Clash",28,83,"https://www.allmusic.com/artist/the-clash-mn0000075747"
"The Cure",18,85,"https://www.allmusic.com/artist/the-cure-mn0000137390"
"The Everly Brothers",15,19,"https://www.allmusic.com/artist/the-everly-brothers-mn0000046699"
"The Isley Brothers",10,17,"https://www.allmusic.com/artist/the-isley-brothers-mn0000766893"
"The Kinks",17,113,"https://www.allmusic.com/artist/the-kinks-mn0000100160"
"The Marvelettes",6,7,"https://www.allmusic.com/artist/the-marvelettes-mn0000376608"
"The Monkees",15,13,"https://www.allmusic.com/artist/the-monkees-mn0000478603"
"The Moody Blues",10,15,"https://www.allmusic.com/artist/the-moody-blues-mn0000404434"
"The Police",14,28,"https://www.allmusic.com/artist/the-police-mn0000413524"
"The Replacements",27,58,"https://www.allmusic.com/artist/the-replacements-mn0000422405"
"The Rolling Stones",27,107,"https://www.allmusic.com/artist/the-rolling-stones-mn0000894465"
"The Shadows",17,17,"https://www.allmusic.com/artist/the-shadows-mn0000496405"
"The Shirelles",10,12,"https://www.allmusic.com/artist/the-shirelles-mn0000418981"
"The Smiths",22,85,"https://www.allmusic.com/artist/the-smiths-mn0000899530"
"The Strokes",16,27,"https://www.allmusic.com/artist/the-strokes-mn0000568137"
"The Velvet Underground",11,136,"https://www.allmusic.com/artist/the-velvet-underground-mn0000840402"
"The White Stripes",21,17,"https://www.allmusic.com/artist/the-white-stripes-mn0000921710"
"The Zombies",20,74,"https://www.allmusic.com/artist/the-zombies-mn0000582313"
"Thelonious Monk",14,79,"https://www.allmusic.com/artist/thelonious-monk-mn0000490416"
"Todd Rundgren",19,24,"https://www.allmusic.com/artist/todd-rundgren-mn0000936425"
"Traffic",15,17,"https://www.allmusic.com/artist/traffic-mn0000012472"
"Turin Brakes",4,0,"https://www.allmusic.com/artist/genesis-mn0000205668"
"U2",21,62,"https://www.allmusic.com/artist/u2-mn0000219203"
"Vampire Weekend",18,14,"https://www.allmusic.com/artist/vampire-weekend-mn0000662416"
"Weezer",30,57,"https://www.allmusic.com/artist/weezer-mn0000243008"
"Wire",18,77,"https://www.allmusic.com/artist/wire-mn0000672910"
"Yes",15,22,"https://www.allmusic.com/artist/yes-mn0000685647"
